鄉鎮市區,交易年月日,建物移轉總面積平方公尺,總價元,車位總價元,資料來源,縣市,房屋單價（元/平方公尺）
中正區,1110105,152.94,4500000,0,成屋,基隆市,29423.303256178893
暖暖區,1110106,86.82,7030000,0,成屋,基隆市,80972.12623819397
中山區,1110101,55.02,3950000,0,成屋,基隆市,71792.07560886949
仁愛區,1110110,80.25,3600000,0,成屋,基隆市,44859.81308411215
中正區,1110109,114.72,5500000,0,成屋,基隆市,47942.81729428173
暖暖區,1110102,73.62,6100000,0,成屋,基隆市,82857.9190437381
暖暖區,1110104,76.65,3300000,0,成屋,基隆市,43052.837573385514
安樂區,1110124,92.43,3950000,0,成屋,基隆市,42735.042735042734
七堵區,1110101,90.37,3850000,0,成屋,基隆市,42602.63361735089
七堵區,1110108,57.66,5700000,0,成屋,基隆市,98855.35900104059
七堵區,1110101,178.83,7200000,0,成屋,基隆市,40261.70105686965
仁愛區,1110112,55.88,3550000,0,成屋,基隆市,63528.99069434502
安樂區,1110115,71.88,7500000,0,成屋,基隆市,104340.56761268782
信義區,1110115,66.35,3800000,0,成屋,基隆市,57272.04220045215
安樂區,1110117,117.33,6000000,0,成屋,基隆市,51137.81641523907
安樂區,1110110,262.8,16800000,0,成屋,基隆市,63926.94063926941
七堵區,1110120,114.33,9300000,0,成屋,基隆市,81343.47940173183
中正區,1110118,32.25,1650000,0,成屋,基隆市,51162.79069767442
七堵區,1110105,138.48000000000002,4400000,0,成屋,基隆市,31773.541305603692
暖暖區,1110103,127.65,9450000,0,成屋,基隆市,74030.55229142186
仁愛區,1110112,118.68,5300000,0,成屋,基隆市,44657.90360633637
仁愛區,1110107,308.6,32800000,0,成屋,基隆市,106286.45495787426
安樂區,1110107,346.69,30500000,0,成屋,基隆市,87974.84784677955
七堵區,1110103,112.2,8500000,0,成屋,基隆市,75757.57575757576
仁愛區,1110110,73.58,4000000,0,成屋,基隆市,54362.59853220984
暖暖區,1110113,248.61,15000000,800000,成屋,基隆市,57117.57370982663
中正區,1110117,72.12,3500000,0,成屋,基隆市,48530.22739877981
安樂區,1110101,85.46000000000001,3600000,0,成屋,基隆市,42124.97074654809
信義區,1110108,83.82,3200000,0,成屋,基隆市,38177.0460510618
信義區,1110108,147.86,10500000,0,成屋,基隆市,71013.12051941025
安樂區,1110122,39.67,4000000,0,成屋,基隆市,100831.86286866649
信義區,1110108,141.82999999999998,5550000,0,成屋,基隆市,39131.354438412185
安樂區,1110126,89.5,3000000,0,成屋,基隆市,33519.5530726257
信義區,1110108,128.36,6100000,0,成屋,基隆市,47522.59270800872
中山區,1110108,36.3,2000000,0,成屋,基隆市,55096.418732782375
信義區,1110114,219.08,13200000,0,成屋,基隆市,60251.96275333211
中正區,1110123,66.87,1500000,0,成屋,基隆市,22431.583669807085
信義區,1110107,128.05,7400000,0,成屋,基隆市,57789.92581023037
安樂區,1110127,106.68,3500000,0,成屋,基隆市,32808.39895013123
七堵區,1110114,161.02,9000000,800000,成屋,基隆市,50925.35088808843
七堵區,1110105,116.45,6800000,0,成屋,基隆市,58394.16058394161
